dk_name,nfl_name,match_type,similarity,dk_id,nfl_id,canonical_name,confidence
Ja'Marr Chase,J.Chase,database,1.0,39506085,00-0036900,Ja'Marr Chase,1.0
Bijan Robinson,B.Robinson,database,1.0,39505777,00-0037746,Bijan Robinson,1.0
Jahmyr Gibbs,J.Gibbs,database,1.0,39505779,00-0039139,Jahmyr Gibbs,1.0
Puka Nacua,P.Nacua,database,1.0,39506087,00-0039075,Puka Nacua,1.0
Nico Collins,N.Collins,database,1.0,39506089,00-0036554,Nico Collins,1.0
Christian McCaffrey,C.McCaffrey,database,1.0,39505781,00-0033280,Christian McCaffrey,1.0
Joe Burrow,J.Burrow,database,1.0,39505689,00-0036442,Joe Burrow,1.0
Tyreek Hill,T.Hill,database,1.0,39506097,00-0033040,Tyreek Hill,1.0
Chase Brown,A.St. Brown,database,1.0,39505793,00-0036963,Chase Brown,1.0
Tee Higgins,T.Higgins,database,1.0,39506103,00-0036410,Tee Higgins,1.0
Bo Nix,B.Nix,database,1.0,39505693,00-0039732,Bo Nix,1.0
Trey McBride,T.McBride,database,1.0,39506679,00-0037744,Trey McBride,1.0
Joe Mixon,J.Mixon,database,1.0,39505801,00-0033897,Joe Mixon,1.0
C.J. Stroud,C.Stroud,database,1.0,39505696,00-0039163,C.J. Stroud,1.0
DK Metcalf,D.Metcalf,database,1.0,39506113,00-0035640,DK Metcalf,1.0
Tua Tagovailoa,T.Tagovailoa,database,1.0,39505698,00-0036212,Tua Tagovailoa,1.0
Jaxon Smith-Njigba,J.Smith-Njigba,database,1.0,39506115,00-0038543,Jaxon Smith-Njigba,1.0
Tony Pollard,T.Pollard,database,1.0,39505813,00-0035261,Tony Pollard,1.0
David Montgomery,D.Montgomery,database,1.0,39505815,00-0035685,David Montgomery,1.0
J.K. Dobbins,J.Dobbins,database,1.0,39505821,00-0036158,J.K. Dobbins,1.0
Sam Darnold,S.Darnold,database,1.0,39505703,00-0034869,Sam Darnold,1.0
Sam LaPorta,S.LaPorta,database,1.0,39506683,00-0039065,Sam LaPorta,1.0
Joe Flacco,J.Flacco,database,1.0,39505711,00-0026158,Joe Flacco,1.0
Zach Charbonnet,Z.Charbonnet,database,1.0,39505851,00-0039165,Zach Charbonnet,1.0
Adam Thielen,A.Thielen,database,1.0,39506157,00-0030035,Adam Thielen,1.0
Kirk Cousins,K.Cousins,database,1.0,39505720,00-0029604,Kirk Cousins,1.0
Devin Singletary,D.Singletary,database,1.0,39505875,00-0035250,Devin Singletary,1.0
Jake Browning,J.Browning,database,1.0,39505729,00-0035100,Jake Browning,1.0
Jimmy Garoppolo,J.Garoppolo,database,1.0,39505730,00-0031345,Jimmy Garoppolo,1.0
Kyle Williams,K.Williams,database,1.0,39506183,00-0037840,Kyle Williams,1.0
Cam Akers,C.Akers,database,1.0,39505901,00-0036414,Cam Akers,1.0
Nick Mullens,N.Mullens,database,1.0,39505734,00-0033319,Nick Mullens,1.0
Mac Jones,A.Jones,database,1.0,39505737,00-0033293,Mac Jones,1.0
Cam Miller,A.Miller,database,1.0,39505775,00-0034353,Cam Miller,1.0
Kene Nwangwu,K.Nwangwu,database,1.0,39506057,00-0036842,Kene Nwangwu,1.0
D.J. Williams,J.Williams,database,1.0,39506039,00-0033948,D.J. Williams,1.0
Josh Williams,J.Williams,database,1.0,39506041,00-0033948,Josh Williams,1.0
Emari Demercado,E.Demercado,database,1.0,39506015,00-0038705,Emari Demercado,1.0
Clyde Edwards-Helaire,C.Edwards-Helaire,database,1.0,39506079,00-0036360,Clyde Edwards-Helaire,1.0
Josh Johnson,J.Johnson,database,1.0,39505760,00-0026300,Josh Johnson,1.0
Chris Rodriguez Jr.,C.Rodriguez,database,1.0,39506001,00-0038611,Chris Rodriguez Jr.,1.0
Tim Boyle,T.Boyle,database,1.0,39505753,00-0034177,Tim Boyle,1.0
Kyle Juszczyk,K.Juszczyk,database,1.0,39505965,00-0029892,Kyle Juszczyk,1.0
Amar Johnson,R.Johnson,database,1.0,39505943,00-0039021,Amar Johnson,1.0
Cody Schrader,C.Schrader,database,1.0,39505931,00-0039703,Cody Schrader,1.0
Dare Ogunbowale,D.Ogunbowale,database,1.0,39505935,00-0033854,Dare Ogunbowale,1.0
J.J. Taylor,J.Taylor,database,1.0,39505937,00-0036096,J.J. Taylor,1.0
Marquez Valdes-Scantling,M.Valdes-Scantling,database,1.0,39506215,00-0034272,Marquez Valdes-Scantling,1.0
Mike Gesicki,M.Gesicki,database,1.0,39506705,00-0034829,Mike Gesicki,1.0
Tim Patrick,T.Patrick,database,1.0,39506231,00-0033375,Tim Patrick,1.0
John Metchie III,J.Metchie,database,1.0,39506227,00-0037614,John Metchie III,1.0
Nick Westbrook-Ikhine,N.Westbrook-Ikhine,database,1.0,39506235,00-0036182,Nick Westbrook-Ikhine,1.0
Luke McCaffrey,L.McCaffrey,database,1.0,39506243,00-0039355,Luke McCaffrey,1.0
Troy Franklin,T.Franklin,database,1.0,39506239,00-0039868,Troy Franklin,1.0
Van Jefferson,V.Jefferson,database,1.0,39506247,00-0036415,Van Jefferson,1.0
Chig Okonkwo,C.Okonkwo,database,1.0,39506713,00-0037809,Chig Okonkwo,1.0
Josh Reynolds,J.Reynolds,database,1.0,39506265,00-0033943,Josh Reynolds,1.0
Steelers ,C.Steele,database,1.0,39506996,00-0039325,Steelers ,1.0
Zay Jones,A.Jones,database,1.0,39506263,00-0033293,Zay Jones,1.0
Pat Freiermuth,P.Freiermuth,database,1.0,39506719,00-0036894,Pat Freiermuth,1.0
Malik Washington,M.Washington,database,1.0,39506267,00-0039880,Malik Washington,1.0
Tre Tucker,T.Tucker,database,1.0,39506281,00-0038563,Tre Tucker,1.0
Mack Hollins,M.Hollins,database,1.0,39506287,00-0033555,Mack Hollins,1.0
Bub Means,B.Means,database,1.0,39506297,00-0039386,Bub Means,1.0
Jordan Whittington,J.Whittington,database,1.0,39506283,00-0039751,Jordan Whittington,1.0
Alex Bachman,A.Bachman,database,1.0,39506667,00-0035602,Alex Bachman,1.0
Ben Skowronek,B.Skowronek,database,1.0,39506621,00-0036862,Ben Skowronek,1.0
Tez Johnson,T.Johnson,database,1.0,39506587,00-0035537,Tez Johnson,1.0
Casey Washington,C.Washington,database,1.0,39506599,00-0039394,Casey Washington,1.0
Dee Eskridge,D.Eskridge,database,1.0,39506551,00-0036620,Dee Eskridge,1.0
Erik Ezukanma,E.Ezukanma,database,1.0,39506553,00-0038092,Erik Ezukanma,1.0
D.J. Montgomery,D.Montgomery,database,1.0,39506573,00-0035685,D.J. Montgomery,1.0
Tay Martin,T.Martin,database,1.0,39506307,00-0037524,Tay Martin,1.0
K.J. Osborn,K.Osborn,database,1.0,39506497,00-0036345,K.J. Osborn,1.0
Ihmir Smith-Marsette,I.Smith-Marsette,database,1.0,39506513,00-0036635,Ihmir Smith-Marsette,1.0
Bryce Ford-Wheaton,B.Ford-Wheaton,database,1.0,39506515,00-0038477,Bryce Ford-Wheaton,1.0
Theo Johnson,T.Johnson,database,1.0,39506729,00-0035537,Theo Johnson,1.0
Dan Chisena,D.Chisena,database,1.0,39506487,00-0035976,Dan Chisena,1.0
TJ Sheffield,T.Sherfield,database,1.0,39506415,00-0034487,TJ Sheffield,1.0
Trent Sherfield Sr.,T.Sherfield,database,1.0,39506417,00-0034487,Trent Sherfield Sr.,1.0
Bo Melton,B.Melton,database,1.0,39506321,00-0037091,Bo Melton,1.0
Sam Brown Jr.,M.Brown,database,1.0,39506359,00-0035662,Sam Brown Jr.,1.0
Tom Kennedy,T.Kennedy,database,1.0,39506363,00-0035544,Tom Kennedy,1.0
Adam Trautman,A.Trautman,database,1.0,39506739,00-0036422,Adam Trautman,1.0
AJ Barner,A.Barner,database,1.0,39506735,00-0039793,AJ Barner,1.0
Luke Musgrave,L.Musgrave,database,1.0,39506737,00-0039144,Luke Musgrave,1.0
Ian Thomas,I.Thomas,database,1.0,39506981,00-0034365,Ian Thomas,1.0
Mo Alie-Cox,M.Alie-Cox,database,1.0,39506927,00-0033217,Mo Alie-Cox,1.0
Will Mallory,W.Mallory,database,1.0,39506933,00-0038394,Will Mallory,1.0
Tip Reiman,T.Reiman,database,1.0,39506897,00-0039737,Tip Reiman,1.0
Ben Sinnott,B.Sinnott,database,1.0,39506875,00-0039912,Ben Sinnott,1.0
Greg Dulcich,G.Dulcich,database,1.0,39506891,00-0037252,Greg Dulcich,1.0
Blake Whiteheart,B.Whiteheart,database,1.0,39506831,00-0038710,Blake Whiteheart,1.0
Cam Grandy,C.Grandy,database,1.0,39506847,00-0039631,Cam Grandy,1.0
David Martin-Robinson,D.Martin-Robinson,database,1.0,39506815,00-0039648,David Martin-Robinson,1.0
Eric Saubert,E.Saubert,database,1.0,39506797,00-0033576,Eric Saubert,1.0
Luke Farrell,L.Farrell,database,1.0,39506803,00-0036887,Luke Farrell,1.0
Ross Dwelley,R.Dwelley,database,1.0,39506805,00-0034073,Ross Dwelley,1.0
John FitzPatrick,J.FitzPatrick,database,1.0,39506781,00-0037306,John FitzPatrick,1.0
Colby Parkinson,C.Parkinson,database,1.0,39506755,00-0036244,Colby Parkinson,1.0
Irv Smith Jr.,I.Smith,database,1.0,39506775,00-0034970,Irv Smith Jr.,1.0
Browns ,P.Brown,database,1.0,39507012,00-0033439,Browns ,1.0
